
Index	Potential applied (V)	Time (s)	WE(1).Current (A)	Column 5 (V/s)	Scan	WE(1).Potential (V)
8132	0.328369140625	748.404113110461	-0.00010565185546875		2	0.328094482421875
8133	0.327911376953125	748.49566611023	-0.0001055908203125		2	0.32763671875
8134	0.32745361328125	748.587219109999	-0.000105560302734375		2	0.327239990234375
8135	0.326995849609375	748.678772109768	-0.000105682373046875		2	0.326751708984375
8136	0.3265380859375	748.770325109537	-0.000105621337890625		2	0.3262939453125
8137	0.326080322265625	748.861878109306	-0.0001055908203125		2	0.3258056640625
8138	0.32562255859375	748.953431109074	-0.00010552978515625		2	0.325347900390625
8139	0.325164794921875	749.044984108843	-0.000105438232421875		2	0.324920654296875
8140	0.32470703125	749.136537108612	-0.000105438232421875		2	0.324432373046875
8141	0.324249267578125	749.228090108381	-0.00010540771484375		2	0.32403564453125
8142	0.32379150390625	749.31964310815	-0.000105377197265625		2	0.323516845703125
8143	0.323333740234375	749.411196107919	-0.0001053466796875		2	0.32305908203125
8144	0.3228759765625	749.502749107687	-0.0001053466796875		2	0.3226318359375
8145	0.322418212890625	749.594302107456	-0.000105255126953125		2	0.3221435546875
8146	0.32196044921875	749.685855107225	-0.000104949951171875		2	0.32171630859375
8147	0.321502685546875	749.777408106994	-0.000104949951171875		2	0.321258544921875
8148	0.321044921875	749.868961106763	-0.00010498046875		2	0.320770263671875
8149	0.320587158203125	749.960514106532	-0.000104949951171875		2	0.32037353515625
8150	0.32012939453125	750.052067106301	-0.00010498046875		2	0.319915771484375
8151	0.319671630859375	750.143620106069	-0.000105010986328125		2	0.31939697265625
8152	0.3192138671875	750.235173105838	-0.000104949951171875		2	0.319000244140625
8153	0.318756103515625	750.326726105607	-0.00010498046875		2	0.31854248046875
8154	0.31829833984375	750.418279105376	-0.00010498046875		2	0.318023681640625
8155	0.317840576171875	750.509832105145	-0.000104888916015625		2	0.31756591796875
8156	0.3173828125	750.601385104914	-0.00010491943359375		2	0.317138671875
8157	0.316925048828125	750.692938104683	-0.00010504150390625		2	0.316650390625
8158	0.31646728515625	750.784491104451	-0.000105010986328125		2	0.31622314453125
8159	0.316009521484375	750.87604410422	-0.000104949951171875		2	0.31573486328125
8160	0.3155517578125	750.967597103989	-0.00010491943359375		2	0.315277099609375
8161	0.315093994140625	751.059150103758	-0.000104888916015625		2	0.314849853515625
8162	0.31463623046875	751.150703103527	-0.00010491943359375		2	0.314422607421875
8163	0.314178466796875	751.242256103296	-0.0001048583984375		2	0.31396484375
8164	0.313720703125	751.333809103064	-0.0001048583984375		2	0.3134765625
8165	0.313262939453125	751.425362102833	-0.000104766845703125		2	0.313018798828125
8166	0.31280517578125	751.516915102602	-0.00010479736328125		2	0.31256103515625
8167	0.312347412109375	751.608468102371	-0.0001055908203125		2	0.3121337890625
8168	0.3118896484375	751.70002110214	-0.000105377197265625		2	0.31158447265625
8169	0.311431884765625	751.791574101909	-0.000105255126953125		2	0.311126708984375
8170	0.31097412109375	751.883127101678	-0.0001051025390625		2	0.310699462890625
8171	0.310516357421875	751.974680101446	-0.00010498046875		2	0.31024169921875
8172	0.31005859375	752.066233101215	-0.00010491943359375		2	0.309783935546875
