index	Potential [V]	Disk Current density[mA/cm2]	Ring Current density[mA/cm2]
3011	0.6862072612387081	-0.6382904052734375	0.027368164062500002
3010	0.6866126430178416	-0.6361236572265625	0.0276947021484375
3009	0.6870198692298181	-0.634033203125	0.02741546630859375
3008	0.6874326287403236	-0.6321716308593749	0.0274749755859375
3007	0.6878328461074966	-0.629791259765625	0.0271881103515625
3006	0.688250401143394	-0.6281280517578125	0.027218627929687496
3005	0.6886461918717437	-0.6255645751953125	0.02714080810546875
3004	0.6890770268241108	-0.62445068359375	0.026837158203125
3003	0.6894672842539316	-0.6216583251953126	0.026721191406249997
3002	0.6898933236809067	-0.6203460693359375	0.02682647705078125
3001	0.6902809989047473	-0.6174468994140626	0.02661285400390625
3000	0.6907048250123108	-0.6160430908203124	0.026445007324218752
2999	0.6910928691227199	-0.6131591796875	0.026344299316406253
2998	0.6915141130243033	-0.6116485595703126	0.026300048828125
2997	0.6919058460003985	-0.608917236328125	0.02626190185546875
2996	0.692329672107962	-0.6075134277343749	0.026075744628906248
2995	0.6927191917646456	-0.6046905517578125	0.02603302001953125
2994	0.6931444934184836	-0.6033477783203125	0.025787353515625
2993	0.6935332753020299	-0.600494384765625	0.025775146484375
2992	0.6939511992244959	-0.598846435546875	0.025511169433593748
2991	0.6943469899528457	-0.596282958984375	0.02557830810546875
2990	0.6947623316693314	-0.5945281982421875	0.0254425048828125
2989	0.6951599668305242	-0.592041015625	0.0253570556640625
2988	0.6955716196813239	-0.5901336669921875	0.025164794921875
2987	0.6959766325738888	-0.5879516601562499	0.02508087158203125
2986	0.6963882854246884	-0.5860443115234375	0.024913024902343747
2985	0.6967944049769591	-0.5839080810546875	0.0249481201171875
2984	0.6971916712515833	-0.5814056396484375	0.024667358398437502
2983	0.6976036929889516	-0.5795135498046875	0.02472381591796875
2982	0.6980057547889676	-0.57720947265625	0.0244384765625
2981	0.6984170387531987	-0.575286865234375	0.0245513916015625
2980	0.698816149460666	-0.5728607177734375	0.02423553466796875
2979	0.6992289089711714	-0.5709991455078125	0.02429046630859375
2978	0.6996243308129526	-0.56842041015625	0.024067687988281253
2977	0.7000411480757127	-0.5667266845703125	0.0240509033203125
2976	0.7004395210100428	-0.56427001953125	0.0238739013671875
2975	0.7008537560668227	-0.562469482421875	0.0237213134765625
2974	0.7012458579294865	-0.55975341796875	0.023678588867187503
2973	0.701665995171364	-0.558197021484375	0.023577880859374997
2972	0.702055145941479	-0.55535888671875	0.02346343994140625
2971	0.7024738076370821	-0.553741455078125	0.0233062744140625
2970	0.7028577939952366	-0.550689697265625	0.02319183349609375
2969	0.7032849400819177	-0.5494232177734375	0.02310638427734375
2968	0.7036692953266407	-0.5463867187499999	0.023016357421874998
2967	0.7040898014550869	-0.5448455810546875	0.022831726074218753
2966	0.7044756322460844	-0.5418701171875	0.022790527343750002
2965	0.7048939250551189	-0.5402374267578125	0.02261505126953125
2964	0.7052838135983711	-0.5374298095703125	0.0226318359375
2963	0.705694359789465	-0.5354766845703125	0.0224365234375
2962	0.7060857238789916	-0.5327301025390625	0.02236480712890625
2961	0.7065043855745947	-0.5311126708984375	0.022186279296875003
2960	0.7068961185506899	-0.52838134765625	0.02213287353515625
2959	0.7073103536074697	-0.526580810546875	0.021989440917968752
2958	0.707707619882094	-0.524078369140625	0.021951293945312502
2957	0.7081126327746589	-0.5218963623046876	0.02170867919921875
2956	0.7085150634612435	-0.5196075439453125	0.021707153320312502
2955	0.7089186008075339	-0.517364501953125	0.0214752197265625
2954	0.7093202937209814	-0.515045166015625	0.021488952636718753
2953	0.7097201422015857	-0.5126495361328126	0.021342468261718747
2952	0.7101340083717971	-0.510833740234375	0.021221923828125
2951	0.7105220524822062	-0.5079498291015625	0.021109008789062498
2950	0.7109370253121233	-0.5061798095703125	0.021000671386718753
2949	0.7113294960613556	-0.50347900390625	0.02082061767578125
2948	0.7117474199838216	-0.5018310546875	0.020869445800781247
2947	0.7121384151867796	-0.4990692138671875	0.0207275390625
2946	0.7125563391092455	-0.4974212646484375	0.02054901123046875
2945	0.7129418010136744	-0.4944305419921875	0.02039794921875
2944	0.7133612004824148	-0.4928436279296875	0.020378112792968753
2943	0.7137514579122356	-0.49005126953125	0.020230102539062503
2942	0.7141712262675445	-0.4884796142578126	0.02012176513671875
2941	0.71454967932717	-0.485198974609375	0.02003021240234375
2940	0.7149687099093417	-0.4835968017578125	0.01984405517578125
2939	0.7153560162466137	-0.4806823730468751	0.01971282958984375
2938	0.7157706201899622	-0.4788970947265625	0.01974334716796875
2937	0.71615903318694	-0.4760284423828125	0.01953277587890625
2936	0.716570317151171	-0.4741058349609375	0.01947174072265625
2935	0.7169627879004034	-0.471405029296875	0.01940460205078125
2934	0.7173762851840461	-0.4695739746093749	0.019097900390625002
2933	0.7177691248198471	-0.466888427734375	0.019113159179687502
2932	0.7181752443721178	-0.464752197265625	0.0190216064453125
2931	0.7185784128318395	-0.462493896484375	0.018933105468750003
2930	0.7189845323841102	-0.4603576660156251	0.01867828369140625
2929	0.7193799542258914	-0.4577789306640625	0.01873321533203125
2928	0.7197794338199273	-0.4553680419921875	0.0184967041015625
2927	0.7201826022796491	-0.4531097412109375	0.01848602294921875
2926	0.7205794996677047	-0.450592041015625	0.018374633789062504
